"ID","VERTEX","LAT","LON"
34,"4","42.15","-71.117"
36,"1","41.917","-70.267"
36,"2","42.567","-70.267"
36,"3","41.917","-71.167"
36,"4","42.567","-71.167"
38,"1","41.75","-70.367"
38,"2","41.083","-70.367"
38,"3","41.083","-71.233"
38,"4","41.75","-71.233"
57,"1","42.58333333","-69.53333333"
57,"2","41.95","-69.53333333"
57,"3","41.95","-70.38333333"
57,"4","42.58333333","-70.38333333"
56,"1","42.96666667","-68.36666667"
56,"2","42.21666667","-68.36666667"
56,"3","42.21666667","-69.4"
56,"4","42.96666667","-69.4"
159,"1","43.216","-68.62"
159,"2","42.48","-68.62"
159,"3","42.48","-69.6"
159,"4","43.216","-69.6"
193,"1","42.933","-68.25"
193,"2","43.65","-68.25"
193,"3","43.65","-69.217"
193,"4","42.933","-69.217"
213,"1","41.55","-69.7"
213,"2","42.333","-69.7"
213,"3","42.333","-70.6"
213,"4","41.55","-70.6"
231,"1","41.933","-69.371"
231,"2","42.583","-69.371"
231,"3","42.583","-70.200"
231,"4","41.933","-70.200"
232,"1","28.0166667","-80.066667"
232,"2","28.73333","-80.066667"
232,"3","28.73333","-80.9"
232,"4","28.0166667","-80.9"
251,"1","38.9","-73.583"
251,"2","39.7","-73.583"
251,"3","39.7","-74.6"
251,"4","38.9","-74.6"
271,"1","38.917","-73.450"
271,"2","39.633","-73.450"
271,"3","39.633","-74.350"
271,"4","38.917","-74.350"
272,"1","40.88","-69.92"
272,"2","41.60","-69.92"
272,"3","41.60","-70.88"
272,"4","40.88","-70.88"
273,"1","32.11666667","-80.13333333"
273,"2","31.5","-80.13333333"
273,"3","31.5","-80.82"
273,"4","31.83333333","-80.55333333"
274,"1","40.883","-69.917"
274,"2","41.6","-69.917"
274,"3","41.6","-70.8837"
274,"4","40.883","-70.8837"
293,"1","41.033","-69.6"
293,"2","41.733","-69.6"
293,"3","41.733","-70.5"
293,"4","41.033","-70.5"
314,"1","41.700","-69.533"
314,"2","42.383","-69.533"
314,"3","42.383","-70.450"
314,"4","41.700","-70.450"
313,"1","42.400","-69.883"
313,"2","43.067","-69.883"
313,"3","43.067","-70.767"
313,"4","42.400","-70.767"
315,"1","39.7","-70.2"
315,"2","40.333","-70.2"
315,"3","40.333","-71.017"
315,"4","39.7","-71.017"
335,"1","41.167","-70.067"
335,"2","41.833","-70.067"
335,"3","41.833","-70.933"
335,"4","41.167","-70.933"
355,"1","39.650","-70.900"
355,"2","40.300","-70.900"
355,"3","40.300","-71.767"
355,"4","39.650","-71.767"
356,"1","41.53333333","-69.7"
356,"2","42.31666667","-69.7"
356,"3","42.31666667","-70.66666667"
356,"4","41.53333333","-70.66666667"
357,"1","30.0","-81.31667"
357,"2","30.0","-80.81667"
357,"3","29.31667","-80.81667"
357,"4","29.31667","-81.04833"
